signal_date,entry_date,exit_date,direction,entry_price,exit_price,quantity,pnl_points,pnl_amount,holding_bars,exit_reason
2015-02-24,2015-02-25,2015-03-03,long,9697.0,9596.0,1,-101.0,-5090.0,4,fixed_stop
2015-03-19,2015-03-20,2015-03-26,long,9742.0,9589.0,1,-153.0,-7690.0,5,fixed_stop
2015-03-26,2015-03-27,2015-04-23,short,9610.0,9711.0,1,-101.0,-5090.0,18,fixed_stop
2015-04-23,2015-04-24,2015-05-06,long,9881.0,9780.0,1,-101.0,-5090.0,8,fixed_stop
2015-05-29,2015-06-01,2015-06-01,long,9668.0,9630.0,1,-38.0,-1940.0,1,chandelier
2015-06-01,2015-06-02,2015-06-25,short,9591.0,9344.0,1,247.0,12310.0,17,chandelier
2015-07-08,2015-07-09,2015-07-09,short,8801.0,8902.0,1,-101.0,-5090.0,1,fixed_stop
2015-08-17,2015-08-18,2015-08-25,short,8235.0,7577.0,1,658.0,32860.0,6,chandelier
2015-11-04,2015-11-05,2015-11-06,long,8878.0,8777.0,1,-101.0,-5090.0,2,fixed_stop
2015-11-09,2015-11-10,2015-12-03,short,8579.0,8475.0,1,104.0,5160.0,18,macd_reverse
2015-12-03,2015-12-04,2015-12-04,long,8366.0,8393.0,1,27.0,1310.0,1,chandelier
2015-12-04,2015-12-07,2015-12-07,short,8499.0,8469.0,1,30.0,1460.0,1,macd_reverse
2015-12-07,2015-12-08,2015-12-08,long,8441.0,8340.0,1,-101.0,-5090.0,1,fixed_stop
2015-12-08,2015-12-09,2015-12-21,short,8302.0,8284.0,1,18.0,860.0,9,macd_reverse
2016-01-04,2016-01-05,2016-01-25,short,8094.0,7836.0,1,258.0,12860.0,15,macd_reverse
2016-05-23,2016-05-24,2016-06-16,long,8334.0,8280.0,1,-54.0,-2740.0,17,chandelier
2016-06-16,2016-06-17,2016-06-17,short,8344.0,8397.0,1,-53.0,-2690.0,1,chandelier
2016-07-01,2016-07-04,2016-07-06,long,8640.0,8539.0,1,-101.0,-5090.0,3,fixed_stop
2016-08-10,2016-08-11,2016-08-11,long,9125.0,9024.0,1,-101.0,-5090.0,1,fixed_stop
2016-09-07,2016-09-08,2016-09-09,long,9254.0,9153.0,1,-101.0,-5090.0,2,fixed_stop
2016-09-10,2016-09-12,2016-09-19,short,8983.0,9084.0,1,-101.0,-5090.0,4,fixed_stop
2016-09-21,2016-09-22,2016-10-13,long,9219.0,9200.0,1,-19.0,-990.0,13,macd_reverse
2016-10-24,2016-10-25,2016-10-31,long,9329.0,9228.0,1,-101.0,-5090.0,5,fixed_stop
2016-11-23,2016-11-24,2016-12-20,long,9160.0,9261.0,1,101.0,5010.0,19,macd_reverse
2016-12-20,2016-12-21,2017-01-04,short,9259.0,9273.0,1,-14.0,-740.0,10,macd_reverse
2017-01-04,2017-01-05,2017-01-19,long,9272.0,9303.0,1,31.0,1510.0,11,macd_reverse
2017-01-23,2017-01-24,2017-02-24,long,9429.0,9759.0,1,330.0,16460.0,19,macd_reverse
2017-03-17,2017-03-20,2017-03-29,long,9874.0,9859.0,1,-15.0,-790.0,8,macd_reverse
2017-04-27,2017-04-28,2017-05-22,long,9847.0,9974.0,1,127.0,6310.0,16,macd_reverse
2017-05-24,2017-05-25,2017-06-13,long,10042.0,10134.0,1,92.0,4560.0,13,macd_reverse
2017-06-20,2017-06-21,2017-06-30,long,10272.0,10253.0,1,-19.0,-990.0,8,macd_reverse
2017-07-13,2017-07-14,2017-07-21,long,10419.0,10326.0,1,-93.0,-4690.0,6,macd_reverse
2017-07-21,2017-07-24,2017-07-26,short,10297.0,10398.0,1,-101.0,-5090.0,3,fixed_stop
2017-08-07,2017-08-08,2017-08-09,long,10553.0,10452.0,1,-101.0,-5090.0,2,fixed_stop
